date,value,series_name
2019-02-01,6136.0,Civilian Unemployment
2019-01-01,6475.0,Civilian Unemployment
2018-12-01,6389.0,Civilian Unemployment
2018-11-01,6115.0,Civilian Unemployment
2018-10-01,6211.0,Civilian Unemployment
2018-09-01,6073.0,Civilian Unemployment
2018-08-01,6156.0,Civilian Unemployment
2018-07-01,6195.0,Civilian Unemployment
2018-06-01,6447.0,Civilian Unemployment
2018-05-01,6196.0,Civilian Unemployment
2018-04-01,6459.0,Civilian Unemployment
2018-03-01,6472.0,Civilian Unemployment
2018-02-01,6581.0,Civilian Unemployment
2018-01-01,6489.0,Civilian Unemployment
2017-12-01,6632.0,Civilian Unemployment
2017-11-01,6774.0,Civilian Unemployment
2017-10-01,6700.0,Civilian Unemployment
2017-09-01,6854.0,Civilian Unemployment
2017-08-01,7082.0,Civilian Unemployment
2017-07-01,6892.0,Civilian Unemployment
2017-06-01,6873.0,Civilian Unemployment
2017-05-01,7000.0,Civilian Unemployment
2017-04-01,7089.0,Civilian Unemployment
2017-03-01,7073.0,Civilian Unemployment
2017-02-01,7379.0,Civilian Unemployment
2017-01-01,7468.0,Civilian Unemployment
2016-12-01,7521.0,Civilian Unemployment
2016-11-01,7553.0,Civilian Unemployment
2016-10-01,7811.0,Civilian Unemployment
2016-09-01,7953.0,Civilian Unemployment
2016-08-01,7784.0,Civilian Unemployment
2016-07-01,7641.0,Civilian Unemployment
2016-06-01,7744.0,Civilian Unemployment
2016-05-01,7652.0,Civilian Unemployment
2016-04-01,8067.0,Civilian Unemployment
2016-03-01,7961.0,Civilian Unemployment
2016-02-01,7702.0,Civilian Unemployment
2016-01-01,7627.0,Civilian Unemployment
2015-12-01,7907.0,Civilian Unemployment
2015-11-01,8000.0,Civilian Unemployment
2015-10-01,7922.0,Civilian Unemployment
2015-09-01,7907.0,Civilian Unemployment
2015-08-01,7992.0,Civilian Unemployment
2015-07-01,8167.0,Civilian Unemployment
2015-06-01,8247.0,Civilian Unemployment
2015-05-01,8834.0,Civilian Unemployment
2015-04-01,8550.0,Civilian Unemployment
2015-03-01,8515.0,Civilian Unemployment
2015-02-01,8599.0,Civilian Unemployment
2015-01-01,8885.0,Civilian Unemployment
2014-12-01,8717.0,Civilian Unemployment
2014-11-01,9090.0,Civilian Unemployment
2014-10-01,8990.0,Civilian Unemployment
2014-09-01,9262.0,Civilian Unemployment
2014-08-01,9599.0,Civilian Unemployment
2014-07-01,9608.0,Civilian Unemployment
2014-06-01,9460.0,Civilian Unemployment
2014-05-01,9859.0,Civilian Unemployment
2014-04-01,9702.0,Civilian Unemployment
2014-03-01,10380.0,Civilian Unemployment
2014-02-01,10349.0,Civilian Unemployment
2014-01-01,10202.0,Civilian Unemployment
2025-04-01,4.2,Unemployment Rate
2025-03-01,4.2,Unemployment Rate
2025-02-01,4.1,Unemployment Rate
2025-01-01,4.0,Unemployment Rate
2024-12-01,4.1,Unemployment Rate
2024-11-01,4.2,Unemployment Rate
2024-10-01,4.1,Unemployment Rate
2024-09-01,4.1,Unemployment Rate
2024-08-01,4.2,Unemployment Rate
2024-07-01,4.2,Unemployment Rate
2024-06-01,4.1,Unemployment Rate
2024-05-01,4.0,Unemployment Rate
2024-04-01,3.9,Unemployment Rate
2024-03-01,3.9,Unemployment Rate
2024-02-01,3.9,Unemployment Rate
2024-01-01,3.7,Unemployment Rate
2023-12-01,3.8,Unemployment Rate
2023-11-01,3.7,Unemployment Rate
2023-10-01,3.9,Unemployment Rate
2023-09-01,3.8,Unemployment Rate
2023-08-01,3.7,Unemployment Rate
2023-07-01,3.5,Unemployment Rate
2023-06-01,3.6,Unemployment Rate
2023-05-01,3.6,Unemployment Rate
2023-04-01,3.4,Unemployment Rate
2023-03-01,3.5,Unemployment Rate
2023-02-01,3.6,Unemployment Rate
2023-01-01,3.5,Unemployment Rate
2022-12-01,3.5,Unemployment Rate
2022-11-01,3.6,Unemployment Rate
2022-10-01,3.6,Unemployment Rate
2022-09-01,3.5,Unemployment Rate
2022-08-01,3.6,Unemployment Rate
2022-07-01,3.5,Unemployment Rate
2022-06-01,3.6,Unemployment Rate
2022-05-01,3.6,Unemployment Rate
2022-04-01,3.7,Unemployment Rate
2022-03-01,3.7,Unemployment Rate
2022-02-01,3.8,Unemployment Rate
2022-01-01,4.0,Unemployment Rate
2021-12-01,3.9,Unemployment Rate
2021-11-01,4.2,Unemployment Rate
2021-10-01,4.5,Unemployment Rate
2021-09-01,4.7,Unemployment Rate
2021-08-01,5.1,Unemployment Rate
2021-07-01,5.4,Unemployment Rate
2021-06-01,5.9,Unemployment Rate
2021-05-01,5.8,Unemployment Rate
2021-04-01,6.1,Unemployment Rate
2021-03-01,6.1,Unemployment Rate
2021-02-01,6.2,Unemployment Rate
2021-01-01,6.4,Unemployment Rate
2020-12-01,6.7,Unemployment Rate
2020-11-01,6.7,Unemployment Rate
2020-10-01,6.9,Unemployment Rate
2020-09-01,7.8,Unemployment Rate
2020-08-01,8.4,Unemployment Rate
2020-07-01,10.2,Unemployment Rate
2020-06-01,11.0,Unemployment Rate
2020-05-01,13.2,Unemployment Rate
2020-04-01,14.8,Unemployment Rate
2020-03-01,4.4,Unemployment Rate
2020-02-01,3.5,Unemployment Rate
2020-01-01,3.6,Unemployment Rate
2019-12-01,3.6,Unemployment Rate
2019-11-01,3.6,Unemployment Rate
2019-10-01,3.6,Unemployment Rate
2019-09-01,3.5,Unemployment Rate
2019-08-01,3.6,Unemployment Rate
2019-07-01,3.7,Unemployment Rate
2019-06-01,3.6,Unemployment Rate
2019-05-01,3.6,Unemployment Rate
2019-04-01,3.7,Unemployment Rate
2019-03-01,3.8,Unemployment Rate
2019-02-01,3.8,Unemployment Rate
2019-01-01,4.0,Unemployment Rate
2018-12-01,3.9,Unemployment Rate
2018-11-01,3.8,Unemployment Rate
2018-10-01,3.8,Unemployment Rate
2018-09-01,3.7,Unemployment Rate
2018-08-01,3.8,Unemployment Rate
2018-07-01,3.8,Unemployment Rate
2018-06-01,4.0,Unemployment Rate
2018-05-01,3.8,Unemployment Rate
2018-04-01,4.0,Unemployment Rate
2018-03-01,4.0,Unemployment Rate
2018-02-01,4.1,Unemployment Rate
2018-01-01,4.0,Unemployment Rate
2017-12-01,4.1,Unemployment Rate
2017-11-01,4.2,Unemployment Rate
2017-10-01,4.2,Unemployment Rate
2017-09-01,4.3,Unemployment Rate
2017-08-01,4.4,Unemployment Rate
2017-07-01,4.3,Unemployment Rate
2017-06-01,4.3,Unemployment Rate
2017-05-01,4.4,Unemployment Rate
2017-04-01,4.4,Unemployment Rate
2017-03-01,4.4,Unemployment Rate
2017-02-01,4.6,Unemployment Rate
2017-01-01,4.7,Unemployment Rate
2016-12-01,4.7,Unemployment Rate
2016-11-01,4.7,Unemployment Rate
2016-10-01,4.9,Unemployment Rate
2016-09-01,5.0,Unemployment Rate
2016-08-01,4.9,Unemployment Rate
2016-07-01,4.8,Unemployment Rate
2016-06-01,4.9,Unemployment Rate
2016-05-01,4.8,Unemployment Rate
2016-04-01,5.1,Unemployment Rate
2016-03-01,5.0,Unemployment Rate
2016-02-01,4.9,Unemployment Rate
2016-01-01,4.8,Unemployment Rate
2015-12-01,5.0,Unemployment Rate
2015-11-01,5.1,Unemployment Rate
2015-10-01,5.0,Unemployment Rate
2015-09-01,5.0,Unemployment Rate
2015-08-01,5.1,Unemployment Rate
2015-07-01,5.2,Unemployment Rate
2015-06-01,5.3,Unemployment Rate
2015-05-01,5.6,Unemployment Rate
2015-04-01,5.4,Unemployment Rate
2015-03-01,5.4,Unemployment Rate
2015-02-01,5.5,Unemployment Rate
2015-01-01,5.7,Unemployment Rate
2014-12-01,5.6,Unemployment Rate
2014-11-01,5.8,Unemployment Rate
2014-10-01,5.7,Unemployment Rate
2014-09-01,5.9,Unemployment Rate
2014-08-01,6.1,Unemployment Rate
2014-07-01,6.2,Unemployment Rate
2014-06-01,6.1,Unemployment Rate
2014-05-01,6.3,Unemployment Rate
2014-04-01,6.2,Unemployment Rate
2014-03-01,6.7,Unemployment Rate
2014-02-01,6.7,Unemployment Rate
2014-01-01,6.6,Unemployment Rate
2025-04-01,159517.0,Total Nonfarm Employment
2025-03-01,159340.0,Total Nonfarm Employment
2025-02-01,159155.0,Total Nonfarm Employment
2025-01-01,159053.0,Total Nonfarm Employment
2024-12-01,158942.0,Total Nonfarm Employment
2024-11-01,158619.0,Total Nonfarm Employment
2024-10-01,158358.0,Total Nonfarm Employment
2024-09-01,158314.0,Total Nonfarm Employment
2024-08-01,158074.0,Total Nonfarm Employment
2024-07-01,158003.0,Total Nonfarm Employment
2024-06-01,157915.0,Total Nonfarm Employment
2024-05-01,157828.0,Total Nonfarm Employment
2024-04-01,157635.0,Total Nonfarm Employment
2024-03-01,157517.0,Total Nonfarm Employment
2024-02-01,157271.0,Total Nonfarm Employment
2024-01-01,157049.0,Total Nonfarm Employment
2023-12-01,156930.0,Total Nonfarm Employment
2023-11-01,156661.0,Total Nonfarm Employment
2023-10-01,156520.0,Total Nonfarm Employment
2023-09-01,156334.0,Total Nonfarm Employment
2023-08-01,156176.0,Total Nonfarm Employment
2023-07-01,156019.0,Total Nonfarm Employment
2023-06-01,155871.0,Total Nonfarm Employment
2023-05-01,155614.0,Total Nonfarm Employment
2023-04-01,155387.0,Total Nonfarm Employment
2023-03-01,155171.0,Total Nonfarm Employment
2023-02-01,155086.0,Total Nonfarm Employment
2023-01-01,154780.0,Total Nonfarm Employment
2022-12-01,154336.0,Total Nonfarm Employment
2022-11-01,154210.0,Total Nonfarm Employment
2022-10-01,153913.0,Total Nonfarm Employment
2022-09-01,153513.0,Total Nonfarm Employment
2022-08-01,153286.0,Total Nonfarm Employment
2022-07-01,153049.0,Total Nonfarm Employment
2022-06-01,152353.0,Total Nonfarm Employment
2022-05-01,151892.0,Total Nonfarm Employment
2022-04-01,151651.0,Total Nonfarm Employment
2022-03-01,151346.0,Total Nonfarm Employment
2022-02-01,150875.0,Total Nonfarm Employment
2022-01-01,150006.0,Total Nonfarm Employment
2021-12-01,149781.0,Total Nonfarm Employment
2021-11-01,149206.0,Total Nonfarm Employment
2021-10-01,148569.0,Total Nonfarm Employment
2021-09-01,147712.0,Total Nonfarm Employment
2021-08-01,147246.0,Total Nonfarm Employment
2021-07-01,146759.0,Total Nonfarm Employment
2021-06-01,145828.0,Total Nonfarm Employment
2021-05-01,145032.0,Total Nonfarm Employment
2021-04-01,144611.0,Total Nonfarm Employment
2021-03-01,144246.0,Total Nonfarm Employment
2021-02-01,143422.0,Total Nonfarm Employment
2021-01-01,142913.0,Total Nonfarm Employment
2020-12-01,142548.0,Total Nonfarm Employment
2020-11-01,142731.0,Total Nonfarm Employment
2020-10-01,142461.0,Total Nonfarm Employment
2020-09-01,141770.0,Total Nonfarm Employment
2020-08-01,140819.0,Total Nonfarm Employment
2020-07-01,139255.0,Total Nonfarm Employment
2020-06-01,137671.0,Total Nonfarm Employment
2020-05-01,133040.0,Total Nonfarm Employment
2020-04-01,130424.0,Total Nonfarm Employment
2020-03-01,150895.0,Total Nonfarm Employment
2020-02-01,152292.0,Total Nonfarm Employment
2020-01-01,152031.0,Total Nonfarm Employment
2019-12-01,151795.0,Total Nonfarm Employment
2019-11-01,151668.0,Total Nonfarm Employment
2019-10-01,151460.0,Total Nonfarm Employment
2019-09-01,151365.0,Total Nonfarm Employment
2019-08-01,151171.0,Total Nonfarm Employment
2019-07-01,150936.0,Total Nonfarm Employment
2019-06-01,150839.0,Total Nonfarm Employment
2019-05-01,150621.0,Total Nonfarm Employment
2019-04-01,150593.0,Total Nonfarm Employment
2019-03-01,150295.0,Total Nonfarm Employment
2019-02-01,150065.0,Total Nonfarm Employment
2019-01-01,150059.0,Total Nonfarm Employment
2018-12-01,149809.0,Total Nonfarm Employment
2018-11-01,149617.0,Total Nonfarm Employment
2018-10-01,149526.0,Total Nonfarm Employment
2018-09-01,149358.0,Total Nonfarm Employment
2018-08-01,149279.0,Total Nonfarm Employment
2018-07-01,149020.0,Total Nonfarm Employment
2018-06-01,148959.0,Total Nonfarm Employment
2018-05-01,148740.0,Total Nonfarm Employment
2018-04-01,148422.0,Total Nonfarm Employment
2018-03-01,148280.0,Total Nonfarm Employment
2018-02-01,148054.0,Total Nonfarm Employment
2018-01-01,147660.0,Total Nonfarm Employment
2017-12-01,147523.0,Total Nonfarm Employment
2017-11-01,147373.0,Total Nonfarm Employment
2017-10-01,147150.0,Total Nonfarm Employment
2017-09-01,147007.0,Total Nonfarm Employment
2017-08-01,146919.0,Total Nonfarm Employment
2017-07-01,146772.0,Total Nonfarm Employment
2017-06-01,146583.0,Total Nonfarm Employment
2017-05-01,146380.0,Total Nonfarm Employment
2017-04-01,146174.0,Total Nonfarm Employment
2017-03-01,145969.0,Total Nonfarm Employment
2017-02-01,145848.0,Total Nonfarm Employment
2017-01-01,145628.0,Total Nonfarm Employment
2016-12-01,145408.0,Total Nonfarm Employment
2016-11-01,145183.0,Total Nonfarm Employment
2016-10-01,145066.0,Total Nonfarm Employment
2016-09-01,144967.0,Total Nonfarm Employment
2016-08-01,144662.0,Total Nonfarm Employment
2016-07-01,144520.0,Total Nonfarm Employment
2016-06-01,144146.0,Total Nonfarm Employment
2016-05-01,143900.0,Total Nonfarm Employment
2016-04-01,143855.0,Total Nonfarm Employment
2016-03-01,143662.0,Total Nonfarm Employment
2016-02-01,143407.0,Total Nonfarm Employment
2016-01-01,143210.0,Total Nonfarm Employment
2015-12-01,143077.0,Total Nonfarm Employment
2015-11-01,142808.0,Total Nonfarm Employment
2015-10-01,142579.0,Total Nonfarm Employment
2015-09-01,142275.0,Total Nonfarm Employment
2015-08-01,142125.0,Total Nonfarm Employment
2015-07-01,141991.0,Total Nonfarm Employment
2015-06-01,141709.0,Total Nonfarm Employment
2015-05-01,141538.0,Total Nonfarm Employment
2015-04-01,141196.0,Total Nonfarm Employment
2015-03-01,140923.0,Total Nonfarm Employment
2015-02-01,140827.0,Total Nonfarm Employment
2015-01-01,140568.0,Total Nonfarm Employment
2014-12-01,140364.0,Total Nonfarm Employment
2014-11-01,140090.0,Total Nonfarm Employment
2014-10-01,139797.0,Total Nonfarm Employment
2014-09-01,139563.0,Total Nonfarm Employment
2014-08-01,139269.0,Total Nonfarm Employment
2014-07-01,139073.0,Total Nonfarm Employment
2014-06-01,138849.0,Total Nonfarm Employment
2014-05-01,138512.0,Total Nonfarm Employment
2014-04-01,138297.0,Total Nonfarm Employment
2014-03-01,137985.0,Total Nonfarm Employment
2014-02-01,137712.0,Total Nonfarm Employment
2014-01-01,137561.0,Total Nonfarm Employment
